"","YEAR","SERIAL","PERNUM","STATEFIP","SEX","AGE","RELATE","MOMLOC","POPLOC","NCHILD","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","GQ","PERWT"
"10348",2011,115880,3,6,2,81,5,0,0,1,4,0,1,0,6,"High School or More",122000,"$20,000+",3,3,1,127
"10349",2011,115942,1,6,2,77,1,0,0,1,1,1,1,0,6,"High School or More",27400,"$20,000+",3,3,1,84
"10350",2011,115942,2,6,1,84,2,0,0,1,1,1,1,0,2,"Less than High School",27400,"$20,000+",3,3,1,79
"10351",2011,115942,3,6,1,57,3,1,2,0,5,0,1,0,6,"High School or More",27400,"$20,000+",3,3,1,95
"10352",2011,115949,1,6,2,60,1,4,0,1,1,1,1,0,11,"High School or More",182800,"$20,000+",4,4,1,22
"10353",2011,115949,4,6,2,93,5,0,0,1,5,0,1,0,10,"High School or More",182800,"$20,000+",4,4,1,30
"10354",2011,116194,1,6,2,89,1,0,0,1,5,0,1,0,6,"High School or More",58600,"$20,000+",2,2,1,112
"10355",2011,116194,2,6,1,65,3,1,0,0,4,0,1,0,6,"High School or More",58600,"$20,000+",2,2,1,152
"10356",2011,116463,1,6,2,61,1,2,0,0,4,0,1,0,6,"High School or More",54000,"$20,000+",2,2,1,55
"10357",2011,116463,2,6,2,87,5,0,0,1,5,0,1,0,4,"Less than High School",54000,"$20,000+",2,2,1,75
"10358",2011,116486,1,6,2,63,1,2,0,0,4,0,1,0,6,"High School or More",68690,"$20,000+",2,2,1,110
"10359",2011,116486,2,6,2,88,5,0,0,1,5,0,1,0,6,"High School or More",68690,"$20,000+",2,2,1,139
"10360",2011,116555,1,6,2,55,1,6,0,3,2,1,8,0,6,"High School or More",105900,"$20,000+",6,6,1,55
"10361",2011,116555,2,6,2,25,3,1,0,0,6,0,8,0,6,"High School or More",105900,"$20,000+",6,6,1,62
"10362",2011,116555,3,6,2,22,3,1,0,0,6,0,8,0,6,"High School or More",105900,"$20,000+",6,6,1,56
"10363",2011,116555,4,6,1,21,3,1,0,0,6,0,8,0,6,"High School or More",105900,"$20,000+",6,6,1,38
"10364",2011,116555,5,6,1,61,7,6,0,0,4,0,8,0,7,"High School or More",105900,"$20,000+",6,6,1,56
"10365",2011,116555,6,6,2,85,5,0,0,2,4,0,1,0,2,"Less than High School",105900,"$20,000+",6,6,1,60
