"","YEAR","SERIAL","PERNUM","STATEFIP","RELATE","RELATED","MOMLOC","POPLOC","NCHILD","SEX","AGE","mother_age","father_age","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","PERWT"
"4790",2011,211227,2,6,3,301,0,1,2,2,53,NA,85,1,1,1,0,6,"High School or More",41400,"$20,000+",5,5,101
"4791",2011,211257,1,6,1,101,0,2,0,1,61,NA,89,3,0,1,0,7,"High School or More",146200,"$20,000+",2,2,158
"4792",2011,211619,2,6,3,301,0,1,1,2,54,NA,82,6,0,1,0,7,"High School or More",42800,"$20,000+",3,3,102
"4793",2011,211693,3,6,3,301,2,1,0,1,63,85,93,6,0,1,0,11,"High School or More",128500,"$20,000+",3,3,175
"4794",2011,211745,2,6,3,301,1,0,0,2,47,81,NA,6,0,1,0,10,"High School or More",87700,"$20,000+",2,2,87
"4795",2011,211823,2,6,3,301,1,0,0,1,46,81,NA,6,0,1,0,6,"High School or More",45200,"$20,000+",2,2,70
"4796",2011,211904,1,6,1,101,0,5,2,1,64,NA,86,1,1,1,0,11,"High School or More",395270,"$20,000+",5,5,55
"4797",2011,211961,2,6,2,201,0,3,0,2,57,NA,83,1,1,1,0,7,"High School or More",126570,"$20,000+",3,3,83
"4798",2011,211999,2,6,3,301,1,0,0,1,52,81,NA,4,0,1,0,6,"High School or More",26500,"$20,000+",2,2,448
"4799",2011,212049,2,6,3,301,1,0,0,2,50,81,NA,1,1,1,0,8,"High School or More",65500,"$20,000+",3,3,83
"4800",2011,212086,2,6,3,301,1,0,0,1,47,84,NA,6,0,1,0,10,"High School or More",185400,"$20,000+",3,3,33
"4801",2011,212086,3,6,3,301,1,0,0,1,43,84,NA,6,0,1,0,6,"High School or More",185400,"$20,000+",3,3,36
"4802",2011,212133,2,6,2,201,3,0,0,2,56,81,NA,1,1,1,0,7,"High School or More",258500,"$20,000+",3,3,118
"4803",2011,212493,2,6,3,301,1,0,0,1,52,80,NA,2,1,1,0,6,"High School or More",10800,"< $20,000",2,2,69
"4804",2011,212574,3,6,3,301,2,1,0,2,53,80,82,4,0,1,0,8,"High School or More",33000,"$20,000+",3,3,57
"4805",2011,212870,1,8,1,101,3,0,0,1,59,86,NA,1,1,1,0,11,"High School or More",67000,"$20,000+",3,3,90
"4806",2011,212891,1,8,1,101,0,8,4,1,51,NA,92,1,1,1,0,10,"High School or More",196900,"$20,000+",8,8,117
"4807",2011,212891,7,8,7,701,0,8,0,1,39,NA,92,6,0,1,0,7,"High School or More",196900,"$20,000+",8,8,106
"4808",2011,212904,2,8,3,302,0,1,0,1,41,NA,81,4,0,8,0,7,"High School or More",104200,"$20,000+",2,2,48
"4809",2011,212926,3,8,3,301,2,1,0,2,48,75,81,6,0,1,0,6,"High School or More",36720,"$20,000+",3,3,76
"4810",2011,212992,2,8,3,301,1,0,0,1,51,86,NA,6,0,1,0,10,"High School or More",62600,"$20,000+",2,2,124
"4811",2011,212999,1,8,1,101,3,0,0,2,55,86,NA,6,0,1,0,6,"High School or More",64100,"$20,000+",3,3,74
"4812",2011,212999,2,8,7,701,3,0,0,1,56,86,NA,6,0,1,0,8,"High School or More",64100,"$20,000+",3,3,94
"4813",2011,213240,2,8,3,301,1,0,0,1,51,83,NA,6,0,1,0,6,"High School or More",30500,"$20,000+",2,2,57
"4814",2011,213466,2,8,3,301,1,0,0,2,65,88,NA,4,0,1,0,6,"High School or More",34900,"$20,000+",2,2,176
"4815",2011,213624,2,8,2,201,0,3,0,1,48,NA,82,1,1,1,0,6,"High School or More",64000,"$20,000+",3,3,182
"4816",2011,213629,1,8,1,101,0,2,0,1,54,NA,92,4,0,1,0,8,"High School or More",45300,"$20,000+",3,3,176
"4817",2011,213710,1,8,1,101,5,0,2,1,55,80,NA,1,1,1,0,8,"High School or More",150700,"$20,000+",5,5,118
"4818",2011,213844,2,8,2,201,0,3,0,2,53,NA,88,1,1,1,0,11,"High School or More",275824,"$20,000+",3,3,49
"4819",2011,214014,2,8,3,301,1,0,1,2,51,92,NA,3,0,1,0,6,"High School or More",51000,"$20,000+",3,3,63
"4820",2011,214114,3,8,3,301,1,2,2,2,48,77,92,3,0,1,0,6,"High School or More",119700,"$20,000+",6,6,105
"4821",2011,214299,1,8,1,101,0,3,0,1,51,NA,92,1,1,1,0,6,"High School or More",109000,"$20,000+",3,3,132
"4822",2011,214341,1,8,1,101,3,0,0,1,53,81,NA,1,1,1,0,6,"High School or More",50000,"$20,000+",3,3,59
"4823",2011,214592,1,8,1,101,2,0,0,2,68,92,NA,4,0,1,0,10,"High School or More",201700,"$20,000+",2,2,113
